city,population
Shenzhen,17681600
Seoul,9668465
New York City,8804190
Warsaw,1862402
Taiyuan,5304061
Hangzhou,11936010
Suzhou,12748262
Keelung,361491
Chongqing,32054159
Changzhou,5278121
Madrid,3416771
Beijing,21893095
Taichung,2853173
Paris,2145906
Sydney,5450496
Amsterdam,921468
Moscow,13274285
Florence,360930
London,8799728
Saint Petersburg,5652922
Tokyo,14264798
Mexico City,9209944
Konya,2232374
Guangzhou,18676605
Berlin,3782202
"Washington, D.C.",689545
Tehran,8693706
Edinburgh,376
Chengdu,20937757
Wuhan,12447718
Shanghai,24870895
Nanjing,9314685
Hong Kong,7413070
